time,latitude,longitude,depth,mag,place
2010-01-01T02:27:45.960Z,32.4706667,-115.214,5.995,2.18,"13km N of Delta, B.C., MX"
2010-01-01T02:55:04.370Z,35.9851667,-117.2983333,0.658,2.79,"26km NNE of Trona, CA"
2010-01-01T03:25:30.180Z,36.0325,-117.7828333,0.713,2.86,"15km E of Coso Junction, CA"
2010-01-01T06:52:51.400Z,32.4653333,-115.215,5.995,2.56,"12km N of Delta, B.C., MX"
2010-01-01T07:36:17.140Z,32.4905,-115.1928333,5.971,2.06,"15km N of Delta, B.C., MX"
2010-01-01T07:52:00.460Z,32.492,-115.2001667,5.971,2.22,"15km N of Delta, B.C., MX"
2010-01-01T09:30:55.040Z,32.4876667,-115.2726667,5.995,2.11,"11km SE of Puebla, B.C., MX"
2010-01-02T03:15:45.200Z,33.5758333,-118.8886667,11.213,2.81,"20km NE of Santa Barbara Is., CA"
2010-01-02T04:08:49.180Z,34.5803333,-119.8458333,4.745,2.11,"16km N of Goleta, CA"
2010-01-02T08:30:55.980Z,37.765,-122.565,11.6,2.2,offshore Northern California
2010-01-02T14:04:21.080Z,34.6705,-116.3363333,4.843,2.02,"17km WSW of Ludlow, CA"
2010-01-02T22:37:14.140Z,32.545,-115.2295,5.979,2.38,"12km E of Puebla, B.C., MX"
2010-01-02T23:11:22.500Z,32.9376667,-115.5541667,15.056,2.04,"5km SSW of Brawley, CA"
2010-01-03T05:08:36.270Z,37.392,-118.4315,4.976,2.22,"2km WNW of Dixon Lane-Meadow Creek, CA"
2010-01-03T07:04:44.230Z,32.4716667,-115.2086667,5.971,2.78,"13km N of Delta, B.C., MX"
2010-01-03T08:33:07.760Z,38.813,-122.816,2.4,2.9,Northern California
2010-01-03T17:25:52.940Z,32.545,-115.2388333,5.995,2.93,"11km ESE of Puebla, B.C., MX"
2010-01-03T17:56:19.700Z,32.55,-115.234,5.985,2.09,"11km E of Puebla, B.C., MX"
2010-01-04T04:35:59.300Z,33.9998333,-116.2936667,4.029,2.4,"15km S of Joshua Tree, CA"
2010-01-04T14:24:53.620Z,40.2481667,-123.7791667,5.973,3.95,"15km NNE of Redway, CA"
2010-01-04T14:29:41.080Z,40.26,-123.861,31,2.7,Northern California
2010-01-04T17:29:05.910Z,35.9866667,-117.2895,1.918,2.23,"26km NNE of Trona, CA"
2010-01-04T20:07:59.930Z,35.7116667,-117.4821667,8.636,3.39,"9km SW of Searles Valley, CA"
2010-01-04T20:11:25.790Z,35.7115,-117.485,9.196,3.12,"10km SW of Searles Valley, CA"
2010-01-04T23:45:28.380Z,32.74,-115.4221667,17.908,2.52,"9km SSW of Holtville, CA"
2010-01-04T23:57:37.750Z,32.7381667,-115.4186667,17.508,2.09,"9km SSW of Holtville, CA"
2010-01-05T04:44:42.270Z,35.9583333,-117.3335,0.329,2.76,"22km N of Trona, CA"
2010-01-05T05:44:15.000Z,38.552,-123.021,7.1,2.1,Northern California
2010-01-05T15:18:07.960Z,33.8681667,-117.8428333,10.229,2.01,"3km E of Placentia, CA"
2010-01-06T02:22:36.660Z,36.0963333,-117.8903333,4.473,2.03,"8km NE of Coso Junction, CA"
2010-01-07T01:42:02.790Z,32.518,-115.2405,5.995,2.86,"12km ESE of Puebla, B.C., MX"
2010-01-07T07:09:01.350Z,37.3975,-121.7541667,10.547,2.82,"6km ENE of East Foothills, CA"
2010-01-07T07:16:23.330Z,36.8335,-121.4691667,5.817,2.9,"6km ESE of San Juan Bautista, CA"
2010-01-07T18:09:35.100Z,37.476,-121.797,5.417,4.1,"11km N of East Foothills, CA"
2010-01-08T01:22:12.740Z,37.476,-121.791,7.9,2.2,"San Francisco Bay area, California"
2010-01-08T01:45:12.300Z,36.304,-120.875,3.652,2.1,"25km ENE of King City, CA"
2010-01-08T02:36:13.090Z,35.3103333,-118.607,3.978,2,"23km ENE of Arvin, CA"
2010-01-08T09:32:04.250Z,38.826,-122.798,2.8,2.9,Northern California
2010-01-08T18:50:18.260Z,33.4653333,-116.4408333,4.171,2.43,"24km ESE of Anza, CA"
2010-01-08T19:48:50.710Z,37.482,-121.793,9.215,3.58,"11km N of East Foothills, CA"
2010-01-08T20:15:33.730Z,37.386,-118.83,8.341,2.2,"31km SSE of Mammoth Lakes, CA"
2010-01-08T20:35:18.190Z,38.407,-122.666,10.3,2.5,Northern California
2010-01-08T21:58:48.000Z,37.479,-121.796,7.2,2.1,"San Francisco Bay area, California"
2010-01-09T00:07:24.150Z,33.4623333,-116.443,1.558,2.6,"24km ESE of Anza, CA"
2010-01-09T04:49:04.290Z,32.6876667,-115.9183333,5.546,2.13,"9km SE of Ocotillo, CA"
2010-01-09T09:11:54.220Z,37.477,-121.797,9.1,2.3,"San Francisco Bay area, California"
2010-01-09T11:24:41.530Z,37.479,-121.792,8.9,2.5,"San Francisco Bay area, California"
2010-01-09T12:41:11.810Z,37.479,-121.792,9.1,2.5,"San Francisco Bay area, California"
2010-01-09T12:56:11.530Z,33.5828333,-117.2275,12.191,2.16,"4km NNW of Murrieta, CA"
2010-01-09T17:37:56.050Z,33.2408333,-116.0505,3.739,2.29,"11km SW of Salton City, CA"
2010-01-10T00:57:20.180Z,40.727,-124.445,17.4,2.6,offshore Northern California
2010-01-10T02:55:06.750Z,36.4013333,-117.8686667,3.932,3.04,"18km NE of Olancha, CA"
2010-01-10T03:10:46.780Z,40.725,-124.431,17.7,2.8,offshore Northern California
2010-01-10T04:39:31.280Z,36.2741667,-120.3068333,5.563,2.3,"16km NNE of Coalinga, CA"
2010-01-10T07:07:00.830Z,37.322,-118.3553333,9.11,2.2,"6km SE of Bishop, CA"
2010-01-10T12:29:04.630Z,32.465,-117.5938333,6.786,2.44,"46km WSW of Coronado, CA"
2010-01-10T15:36:27.820Z,38.798,-122.811,4.4,2.8,Northern California
2010-01-10T16:07:29.190Z,35.6288333,-121.0498333,1.117,3.04,"8km NNE of Cambria, CA"
2010-01-10T17:18:10.890Z,37.477,-121.794,9.2,2.1,"San Francisco Bay area, California"
2010-01-10T17:45:48.930Z,36.016,-117.874,3.594,2.05,"7km ESE of Coso Junction, CA"
2010-01-10T19:46:25.350Z,37.474,-121.791,8,2.2,"San Francisco Bay area, California"
2010-01-10T22:40:36.020Z,34.0358333,-117.176,11.593,2.03,"2km SSE of Redlands, CA"
2010-01-11T07:05:18.130Z,37.4791667,-118.6531667,0.397,2.3,"22km NW of West Bishop, CA"
2010-01-11T07:11:49.570Z,37.3953333,-118.6906667,3.336,2.1,"21km W of West Bishop, CA"
2010-01-11T23:24:00.270Z,33.9653333,-116.8771667,8.642,3.12,"4km N of Banning, CA"
2010-01-11T23:33:52.520Z,33.9658333,-116.8775,9.412,3.24,"4km N of Banning, CA"
2010-01-12T01:29:16.940Z,32.7491667,-115.627,14.768,2.23,"8km SW of El Centro, CA"
2010-01-12T02:36:08.440Z,33.9663333,-116.8763333,8.782,4.27,"4km N of Banning, CA"
2010-01-12T20:11:34.300Z,33.8278333,-115.5601667,2.991,2.01,"19km NW of Desert Center, CA"
2010-01-13T00:56:13.420Z,33.9365,-118.3458333,11.73,2.03,"1km ESE of Lennox, CA"
2010-01-13T02:43:38.980Z,36.4006667,-117.878,2.275,2.56,"17km NE of Olancha, CA"
2010-01-13T03:30:40.290Z,32.4653333,-115.181,5.971,2.56,"12km N of Delta, B.C., MX"
2010-01-13T06:46:49.200Z,40.728,-124.447,4.3,2.9,offshore Northern California
2010-01-14T09:32:10.630Z,37.482,-121.791,7.3,2.4,"San Francisco Bay area, California"
2010-01-14T11:07:42.100Z,36.0408333,-117.8338333,0.433,2.29,"10km E of Coso Junction, CA"
2010-01-14T12:10:05.290Z,36.0378333,-117.8355,0.053,3.48,"10km E of Coso Junction, CA"
2010-01-14T12:57:12.580Z,36.0396667,-117.834,0.373,3.22,"10km E of Coso Junction, CA"
2010-01-14T13:37:00.910Z,36.038,-117.8363333,0.353,3.4,"10km E of Coso Junction, CA"
2010-01-14T14:21:46.930Z,37.4686667,-118.6175,3.462,2.9,"19km NW of West Bishop, CA"
2010-01-14T14:57:13.640Z,36.0373333,-117.8376667,0.213,2.1,"10km E of Coso Junction, CA"
2010-01-14T15:07:31.930Z,33.745,-116.0338333,7.718,2.03,"15km ENE of Coachella, CA"
2010-01-14T15:14:27.460Z,34.3493333,-116.4636667,8.535,2.01,"26km N of Yucca Valley, CA"
2010-01-14T16:50:56.980Z,37.476,-121.787,8.6,2.4,"San Francisco Bay area, California"
2010-01-14T23:28:32.490Z,36.7788333,-121.4708333,16.547,2.64,"10km SE of San Juan Bautista, CA"
2010-01-15T02:01:34.480Z,33.183,-115.6051667,2.543,3.05,"10km SW of Niland, CA"
2010-01-15T02:03:14.910Z,33.1793333,-115.6018333,2.703,2.25,"10km NW of Calipatria, CA"
2010-01-15T02:12:56.930Z,33.1775,-115.6056667,1.773,3.42,"10km NW of Calipatria, CA"
