"County","Location","Date","Time","DeathsDirect","InjuriesDirect","PropertyDamage","CropDamage","Source","Lat","Long","InjuriesIndirect","DeathsIndirect"
"DUVAL CO.","OCEANWAY",1/20/2010,"2348",0,0,1500,0,"NWS Employee",30.47,-81.64,0,0
"OKALOOSA CO.","NICEVILLE",2/22/2010,"0900",0,4,0,0,"Newspaper",30.53,-86.5,0,0
"POLK CO.","LAKELAND",3/11/2010,"1645",0,0,0,0,"Newspaper",28.079,-81.96,1,0
"PASCO CO.","GULF HARBORS",4/25/2010,"1735",0,0,12000,0,"Broadcast Media",28.2382,-82.7576,0,0
"BROWARD CO.","(FLL)FT LAUDRDL INTL",4/26/2010,"1050",0,1,0,0,"Broadcast Media",26.0702,-80.1407,0,0
"BAY CO.","SOUTHPORT",4/30/2010,"1555",0,0,1000,0,"County Official",30.29,-85.65,0,0
"PALM BEACH CO.","JUPITER",6/1/2010,"1530",0,1,0,0,"Broadcast Media",26.9402,-80.1025,0,0
"FLAGLER CO.","PALM COAST",6/3/2010,"1730",0,0,1000,0,"Trained Spotter",29.57,-81.21,0,0
"MONROE CO.","BIG PINE",6/9/2010,"1924",0,0,1000,0,"Law Enforcement",24.6474,-81.3308,0,0
"DUVAL CO.","PICKETTVILLE",6/11/2010,"1700",0,0,1000,0,"Broadcast Media",30.39,-81.73,0,0
"DUVAL CO.","DINSMORE",6/11/2010,"1700",0,0,100000,0,"Broadcast Media",30.44,-81.76,0,0
"MIAMI-DADE CO.","PENNSUCO",6/14/2010,"1400",0,0,10000,0,"Broadcast Media",25.839,-80.3807,0,0
"SUMTER CO.","LAKE PANASOFFKEE",6/15/2010,"1500",0,0,0,0,"Broadcast Media",28.8094,-82.1444,1,1
"SEMINOLE CO.","FOREST CITY",6/15/2010,"1600",0,0,500000,0,"Broadcast Media",28.7017,-81.4532,0,0
"SUWANNEE CO.","OBRIEN",6/16/2010,"1730",0,0,250,0,"Emergency Manager",30.01,-82.87,0,0
"LEE CO.","LEHIGH ACRES",6/16/2010,"1845",0,0,60000,0,"Newspaper",26.5829,-81.6274,0,0
"PINELLAS CO.","OLDSMAR",6/17/2010,"1330",0,0,0,500,"Newspaper",28.1095,-82.6618,0,0
"DUVAL CO.","BARFORD",6/20/2010,"1450",0,1,0,0,"Broadcast Media",30.55,-81.73,0,0
"LEE CO.","CAPE CORAL",6/20/2010,"1500",0,0,10000,0,"Emergency Manager",26.69,-82.03,0,0
"CLAY CO.","ORANGE PARK",6/21/2010,"1520",0,0,2000,0,"Law Enforcement",30.17,-81.7,0,0
